image_index,mean_input,mean_blur,mean_edge,max_edge,strong_edge_pixels
155,37.4796,37.3087,85.9630,255.0000,276
156,34.7895,34.6033,97.5523,255.0000,308
157,41.1671,40.9796,97.8533,255.0000,308
158,20.0230,19.9018,70.3431,255.0000,221
159,38.7577,38.5753,100.0166,255.0000,322
160,27.0995,26.9541,73.2411,255.0000,231
161,46.6097,46.4018,108.5089,255.0000,342
162,27.4974,27.3699,72.6850,255.0000,229
163,30.1467,29.9834,75.9222,255.0000,247
164,46.3023,46.1212,97.3622,255.0000,310
165,40.0306,39.8635,83.1722,255.0000,264
166,26.7219,26.5791,72.3189,255.0000,228
167,31.8316,31.6747,80.0944,255.0000,256
168,39.0612,38.9260,76.7487,255.0000,247
169,47.8163,47.6199,96.5574,255.0000,309
170,27.6314,27.4936,73.7385,255.0000,232
171,43.8967,43.6977,101.4273,255.0000,322
172,31.6186,31.4477,78.0714,255.0000,250
173,19.3482,19.2347,60.5855,255.0000,195
174,15.0000,14.9235,45.5408,255.0000,145
175,28.8163,28.6722,77.7908,255.0000,247
176,25.7398,25.6199,64.2921,255.0000,205
177,26.8827,26.7768,60.9668,255.0000,197
178,29.0421,28.8686,93.5485,255.0000,300
179,46.3316,46.1135,113.8010,255.0000,367
180,20.8827,20.7717,58.7487,255.0000,188
181,44.2730,44.0689,105.9298,255.0000,342
182,34.2844,34.1173,86.9770,255.0000,280
183,30.8227,30.6735,77.7232,255.0000,245
184,17.3801,17.2946,48.0281,255.0000,154
185,36.7117,36.5434,88.9120,255.0000,282
186,29.3559,29.2105,78.8304,255.0000,252
187,50.7755,50.5740,108.3533,255.0000,349
188,35.5536,35.3763,93.4452,255.0000,293
189,41.9630,41.7781,94.7372,255.0000,303
190,37.2997,37.1314,90.8457,255.0000,291
191,21.3355,21.2143,69.4681,255.0000,221
192,40.2245,40.0395,95.9464,255.0000,302
193,34.1543,33.9860,85.3176,255.0000,272
194,36.8508,36.6939,85.9694,255.0000,270
195,28.3176,28.1798,73.4923,255.0000,235
196,35.4324,35.1480,79.6620,255.0000,250
197,30.9770,30.9503,83.4605,255.0000,271
198,36.1811,36.0089,90.9107,255.0000,290
199,34.3023,34.1365,86.5689,255.0000,277
200,22.3584,22.2704,52.9643,255.0000,166
201,23.5995,23.4656,59.4286,255.0000,181
202,33.0918,32.9158,83.6173,255.0000,266
203,41.0842,40.8916,99.1875,255.0000,321
204,29.9222,29.7870,67.3635,255.0000,215
205,23.2398,23.1301,58.5293,255.0000,187
206,46.4133,46.1939,112.7615,255.0000,354
207,36.6416,36.4694,96.7781,255.0000,310
208,23.1786,23.0702,54.0727,255.0000,174
209,49.3878,49.1620,112.2475,255.0000,355
210,21.6862,21.5306,81.2054,255.0000,263
211,23.5000,23.4069,54.9974,255.0000,176
212,20.4668,20.3635,56.6390,255.0000,185
213,49.5804,49.3776,102.7232,255.0000,329
214,35.1148,34.9579,82.0727,255.0000,262
215,42.7105,42.5281,98.0727,255.0000,314
216,34.9477,34.7717,91.7653,255.0000,294
217,25.9260,25.7946,72.6773,255.0000,234
218,33.3316,33.1709,85.8546,255.0000,276
219,33.8380,33.6518,92.4350,255.0000,300
220,46.9069,46.6926,116.9120,255.0000,370
221,45.4337,45.2398,97.7130,255.0000,309
222,48.4107,48.2207,99.4375,255.0000,323
223,32.3878,32.2372,78.0816,255.0000,243
224,33.0867,32.9094,91.9541,255.0000,297
225,43.6008,43.4145,98.3546,255.0000,314
226,27.8610,27.7309,70.7130,255.0000,227
227,27.6556,27.5140,72.0561,255.0000,229
228,23.1990,23.0536,70.2793,255.0000,225
229,47.8125,47.6059,112.4260,255.0000,360
230,23.7334,23.5918,68.3023,255.0000,214
231,21.2181,21.1237,52.0548,255.0000,164
232,21.6543,21.5204,73.8329,255.0000,236
233,40.4592,40.2908,91.4656,255.0000,290
234,34.9069,34.7143,96.5255,255.0000,313
235,39.4745,39.2883,93.7781,255.0000,302
236,38.0140,37.8444,90.7041,255.0000,287
237,27.2653,27.1339,73.1237,255.0000,231
238,30.6237,30.4605,81.7385,255.0000,263
239,30.5765,30.4209,84.1620,255.0000,267
240,23.8265,23.6952,65.4821,255.0000,217
241,37.2781,37.1071,88.8954,255.0000,286
242,48.2283,48.0230,108.8355,255.0000,349
243,30.9911,30.8355,79.8699,255.0000,250
244,52.0255,51.8138,108.7895,255.0000,347
245,41.4133,41.2589,90.5485,255.0000,292
246,30.2194,30.0230,102.8533,255.0000,329
247,23.9260,23.7793,69.8852,255.0000,222
248,24.8214,24.7105,57.3214,255.0000,188
249,44.0523,43.8367,111.1097,255.0000,357
250,31.8686,31.7117,83.3380,255.0000,265
251,25.1518,25.0293,57.5612,255.0000,178
252,37.0128,36.8482,89.2538,255.0000,280
253,49.4490,49.2372,110.5957,255.0000,351
254,28.9018,28.7181,91.4643,255.0000,297
255,42.9541,42.7538,101.4758,255.0000,320
256,22.7143,22.5944,61.5548,255.0000,198
257,28.3903,28.2513,74.6237,255.0000,237
258,19.6824,19.5702,62.5357,255.0000,196
259,30.3571,30.1939,83.1327,255.0000,268
260,20.5663,20.4018,81.1454,255.0000,262
261,36.3916,36.2232,84.1735,255.0000,270
262,26.3865,26.2168,82.2156,255.0000,264
263,34.3967,34.2321,82.7985,255.0000,263
264,26.1645,26.0179,77.3571,255.0000,244
265,45.6429,45.4617,94.8150,255.0000,299
266,37.0153,36.8202,99.5013,255.0000,313
267,24.7015,24.5689,68.7015,255.0000,219
268,27.3482,27.1990,73.7640,255.0000,237
269,19.4452,19.3520,50.8125,255.0000,159
270,10.5217,10.4439,39.4656,255.0000,125
271,25.1518,25.0166,69.0727,255.0000,216
272,34.3482,34.1722,88.3087,255.0000,284
273,29.5140,29.3635,83.6696,255.0000,270
274,27.1224,26.9783,76.3520,255.0000,239
275,27.7883,27.6416,75.4413,255.0000,240
276,12.5702,12.4898,41.7436,255.0000,133
277,50.3967,50.1786,110.4668,255.0000,355
278,32.1020,31.9503,82.3380,255.0000,260
279,37.4196,37.2526,94.7755,255.0000,299
280,22.9094,22.7742,65.5140,255.0000,210
281,40.0714,39.8890,102.9031,255.0000,324
282,21.0089,20.7628,70.2628,255.0000,218
283,55.3992,55.2908,118.6952,255.0000,371
284,36.5370,36.3418,104.4719,255.0000,336
285,23.9962,23.8788,65.6722,255.0000,212
286,58.0561,57.8635,78.8482,255.0000,239
287,24.2895,24.1480,73.8342,255.0000,237
288,23.5306,23.4133,66.3393,255.0000,213
289,23.0714,22.9401,68.2972,255.0000,219
290,18.1888,18.0893,49.2704,255.0000,157
291,33.1543,32.9936,83.8163,255.0000,267
292,27.0230,26.8852,71.7589,255.0000,228
293,58.3878,58.1773,115.5191,255.0000,363
294,46.4592,46.2755,97.0714,255.0000,319
295,31.1173,30.9515,82.7028,255.0000,265
296,39.2513,39.0599,98.1161,255.0000,311
297,26.5051,26.3520,76.3520,255.0000,239
298,43.2526,43.0740,94.3150,255.0000,300
299,43.8342,43.6505,93.4719,255.0000,294
300,27.8737,27.7321,68.8342,255.0000,225
301,28.4184,28.2640,74.9566,255.0000,238
302,36.7487,36.5957,78.2615,255.0000,248
303,54.6301,54.4107,111.3010,255.0000,353
304,17.9694,17.8699,57.8814,255.0000,185
305,28.4286,28.2832,76.9209,255.0000,243
306,37.8571,37.6594,103.9311,255.0000,333
307,25.2564,25.1224,68.8214,255.0000,217
308,44.8814,44.6811,100.9171,255.0000,321
309,17.6964,17.6097,50.2946,255.0000,159
310,13.8304,13.7564,42.7717,255.0000,137
311,35.3750,35.2028,82.5306,255.0000,266
312,41.8304,41.6582,93.7806,255.0000,306
313,26.4745,26.3393,68.5791,255.0000,220
314,23.8176,23.6607,74.8329,255.0000,235
315,22.5434,22.4362,55.7666,255.0000,177
316,23.4707,23.3278,80.1429,255.0000,255
317,44.4273,44.2385,102.0753,255.0000,330
318,28.9158,28.7436,86.1939,255.0000,282
319,29.3112,29.1709,74.3725,255.0000,237
320,42.2844,42.1046,95.0306,255.0000,301
321,34.5663,34.3865,88.2258,255.0000,278
322,26.1849,26.0370,81.5217,255.0000,259
323,37.0906,36.9401,84.4464,255.0000,265
324,32.3189,32.1518,87.8048,255.0000,279
325,48.9273,48.7130,100.9298,255.0000,318
326,35.3801,35.2028,93.1033,255.0000,295
327,36.0689,35.8980,91.0408,255.0000,289
328,44.6237,44.4247,96.5102,255.0000,311
329,31.5395,31.3814,80.6939,255.0000,256
330,33.0459,32.8890,81.8533,255.0000,257
331,33.0153,32.8673,78.7742,255.0000,252
332,28.8112,28.6429,86.5867,255.0000,278
333,41.4426,41.2423,103.5306,255.0000,326
334,33.0740,32.9120,83.2628,255.0000,262
335,23.7117,23.5472,77.1199,255.0000,241
336,24.3214,24.1939,71.4911,255.0000,231
337,33.8163,33.6531,85.1480,255.0000,264
338,22.4898,22.3457,77.5995,255.0000,251
339,47.1122,46.9158,105.0906,255.0000,342
340,29.0357,28.8967,74.6862,255.0000,234
341,42.7003,42.4923,104.4413,255.0000,332
342,20.6314,20.5077,66.0740,255.0000,210
343,34.7628,34.6071,84.5344,255.0000,269
344,23.7181,23.5867,72.5459,255.0000,230
345,22.1773,22.0765,55.1607,255.0000,176
346,29.5370,29.3788,80.3087,255.0000,259
347,44.7296,44.5357,103.5778,255.0000,326
348,43.0969,42.9401,81.9337,255.0000,260
349,31.6135,31.4426,84.1480,255.0000,269
350,29.9605,29.8125,76.3367,255.0000,248
351,24.9082,24.7959,58.6148,255.0000,188
352,44.3814,44.1747,103.8444,255.0000,328
353,28.1773,28.0281,72.6008,255.0000,235
354,20.9452,20.8316,60.4069,255.0000,191
355,24.9936,24.8763,58.6862,255.0000,187
356,24.6735,24.5370,71.6480,255.0000,233
357,27.0459,26.9413,59.2883,255.0000,188
358,16.3737,16.2883,46.7921,255.0000,149
359,42.5969,42.3954,102.0625,255.0000,325
360,39.3635,39.1952,92.6225,255.0000,298
361,39.5536,39.3724,96.3929,255.0000,308
362,27.8839,27.7589,70.3061,255.0000,225
363,24.3112,24.1849,65.0204,255.0000,210
364,20.9490,20.8227,68.2819,255.0000,219
365,42.8099,42.6212,95.7156,255.0000,304
366,14.7372,14.6582,44.8418,255.0000,150
367,38.7640,38.5995,86.8112,255.0000,280
368,28.0268,27.8788,73.9452,255.0000,237
369,26.9885,26.8444,74.4452,255.0000,234
370,22.5319,22.4311,60.4222,255.0000,189
371,34.2921,34.1263,83.7245,255.0000,263
372,22.9452,22.8112,73.5472,255.0000,237
373,24.8227,24.6862,69.5918,255.0000,219
374,38.2449,38.1046,75.1441,255.0000,241
375,48.7015,48.4949,107.5714,255.0000,344
376,26.4401,26.3202,70.1237,255.0000,225
377,37.9311,37.7551,88.9911,255.0000,281
378,39.9286,39.7207,98.7181,255.0000,318
379,22.6212,22.4847,65.7156,255.0000,206
380,36.6773,36.4962,93.3469,255.0000,298
381,45.3329,45.1327,96.7232,255.0000,306
382,23.6429,23.5574,55.2168,255.0000,175
383,31.8253,31.6709,80.5319,255.0000,257
384,26.1365,25.9923,77.6467,255.0000,242
385,56.8227,56.6033,106.2156,255.0000,339
386,40.5906,40.3750,110.4694,255.0000,353
387,28.7117,28.5829,75.9171,255.0000,239
388,16.5829,16.4719,54.6837,255.0000,174
389,28.4694,28.3367,70.9898,255.0000,228
390,36.5434,36.3776,89.3048,255.0000,282
391,44.7449,44.5497,101.1148,255.0000,325
392,36.5791,36.3903,100.4362,255.0000,318
393,37.9069,37.7436,88.8788,255.0000,284
394,19.7181,19.6224,53.6467,255.0000,174
395,36.3788,36.2105,86.0025,255.0000,277
396,21.8316,21.6824,77.5957,255.0000,245
397,20.9732,20.8635,54.5867,255.0000,177
398,14.6684,14.5918,42.8916,255.0000,145
399,58.0855,57.8559,111.1531,255.0000,349
400,40.7513,40.5651,97.3023,255.0000,314
401,27.6390,27.4949,69.8865,255.0000,224
402,24.9630,24.8176,73.8890,255.0000,236
403,28.8240,28.6492,83.4209,255.0000,264
404,37.6186,37.4145,103.5714,255.0000,331
405,35.5434,35.3508,98.6429,255.0000,313
406,20.1390,20.0344,52.2130,255.0000,168
407,27.1250,26.9617,82.8074,255.0000,266
408,14.5217,14.4388,45.1046,255.0000,143
409,29.1314,28.9694,76.8342,255.0000,243
410,37.0102,36.8355,91.5995,255.0000,291
411,29.1709,29.0255,76.0906,255.0000,236
412,14.8367,14.7232,55.8597,255.0000,179
413,22.4133,22.2883,69.1492,255.0000,219
414,33.8559,33.7066,75.5485,255.0000,238
415,41.0702,40.9031,90.4554,255.0000,290
416,24.2564,24.1531,55.7411,255.0000,173
417,19.8622,19.7270,64.5472,255.0000,202
418,12.9337,12.8163,52.4043,255.0000,172
419,28.6097,28.4592,75.2997,255.0000,240
420,23.7793,23.6416,70.2653,255.0000,219
421,38.7704,38.5995,84.4809,255.0000,275
422,19.1722,18.8967,60.4362,255.0000,198
423,26.9171,26.9490,72.4809,255.0000,232
424,41.0931,40.9324,84.1046,255.0000,267
425,34.2117,34.0230,96.6569,255.0000,309
426,46.8482,46.6811,87.9452,255.0000,279
427,63.0395,62.8189,111.8533,255.0000,360
428,28.7066,28.5702,74.0446,255.0000,232
429,55.8622,55.6441,117.8469,255.0000,371
430,24.7551,24.6020,76.6760,255.0000,244
431,35.3929,35.2321,82.7844,255.0000,262
432,28.1250,27.9515,90.9605,255.0000,293
433,34.7564,34.5753,94.1505,255.0000,296
434,22.2564,22.1008,78.0077,255.0000,247
435,46.6939,46.4936,108.2168,255.0000,346
436,17.6901,17.5727,60.3878,255.0000,188
437,23.8852,23.7296,73.1658,255.0000,231
438,36.7577,36.6020,84.9286,255.0000,267
439,36.4375,36.2730,84.0829,255.0000,266
440,56.0242,55.7959,120.2309,255.0000,373
441,23.6454,23.5128,66.3801,255.0000,212
442,22.7538,22.6122,71.5957,255.0000,227
443,20.8163,20.7156,54.3355,255.0000,170
444,19.8214,19.7028,60.4056,255.0000,194
445,40.3903,40.2079,90.8304,255.0000,293
446,28.5804,28.4235,83.2781,255.0000,261
447,21.6480,21.5357,55.9923,255.0000,179
448,39.0880,38.9260,82.8189,255.0000,261
449,36.9834,36.8125,82.2691,255.0000,262
450,19.5153,19.4222,50.9898,255.0000,168
451,47.1964,46.9974,106.1122,255.0000,329
452,40.7372,40.5408,104.8827,255.0000,334
453,40.3495,40.1556,102.9400,255.0000,328
454,11.7577,11.6862,39.5217,255.0000,130
455,20.8138,20.7117,54.2832,255.0000,175
456,24.6161,24.4643,74.3495,255.0000,235
457,35.8227,35.6594,85.8520,255.0000,276
458,53.0408,52.8112,114.4515,255.0000,364
459,33.3814,33.2092,87.6390,255.0000,282
460,26.9031,26.7500,76.4413,255.0000,242
461,31.2781,31.1186,85.5561,255.0000,270
462,56.5204,56.2921,117.2385,255.0000,371
463,19.2207,19.0982,63.6645,255.0000,203
464,54.3839,54.1760,117.4707,255.0000,374
465,40.6097,40.4273,95.6518,255.0000,309
466,12.7028,12.6224,42.9949,255.0000,137
467,35.4503,35.2883,86.3163,255.0000,268
468,19.3584,19.2168,73.3635,255.0000,236
469,40.6505,40.4592,95.0064,255.0000,304
470,18.1033,17.9987,50.9401,255.0000,163
471,31.2334,31.0880,75.7577,255.0000,240
472,19.5408,19.4171,66.7181,255.0000,211
473,43.4668,43.2653,107.4987,255.0000,347
474,29.2755,29.1020,90.2704,255.0000,288
475,18.0982,18.0038,52.1454,255.0000,160
476,23.3380,23.1926,77.4260,255.0000,249
477,39.4056,39.2194,94.8329,255.0000,300
478,35.0957,34.9541,82.1454,255.0000,261
479,37.2423,37.0561,94.6301,255.0000,301
480,42.1786,41.9974,93.7768,255.0000,308
481,27.8048,27.6429,79.5625,255.0000,254
482,25.6901,25.5587,68.8495,255.0000,219
483,35.2245,35.0625,89.6862,255.0000,284
484,13.5651,13.4987,42.7857,255.0000,143
485,36.6747,36.4872,96.2347,255.0000,311
486,36.5026,36.3125,98.6696,255.0000,308
487,26.8903,26.7321,75.4043,255.0000,233
488,38.5472,38.3699,94.9018,255.0000,301
489,32.6441,32.4656,93.6033,255.0000,299
490,38.0638,37.8788,96.7857,255.0000,310
491,20.5804,20.4656,57.5153,255.0000,182
492,26.0370,25.9196,60.9337,255.0000,190
493,33.5982,33.4362,83.8814,255.0000,272
494,38.9579,38.7755,98.2500,255.0000,319
495,46.9783,46.7526,109.0676,255.0000,344
496,33.6071,33.4388,88.7679,255.0000,283
497,26.3699,26.2168,71.0969,255.0000,226
498,23.3202,23.1798,69.2423,255.0000,225
499,35.2921,35.1122,89.1620,255.0000,284
500,22.9273,22.7793,70.3036,255.0000,220
501,24.1365,23.9847,69.5880,255.0000,223
502,17.3214,17.2028,61.5995,255.0000,196
503,29.3878,29.2423,77.6008,255.0000,253
504,46.4311,46.2028,116.7092,255.0000,372
505,31.4069,31.2538,79.7130,255.0000,254
506,33.7742,33.6097,93.7832,255.0000,303
507,21.3304,21.2258,55.4719,255.0000,179
508,21.3520,21.2474,55.7296,255.0000,171
509,38.8852,38.6811,95.4732,255.0000,308
510,15.8265,15.7449,46.8571,255.0000,146
511,27.8827,27.7398,71.7334,255.0000,222
512,39.6135,39.4426,95.1620,255.0000,299
513,25.0867,24.9464,74.3125,255.0000,240
514,21.2423,21.1020,69.3240,255.0000,219
515,46.1212,45.9247,99.6378,255.0000,326
516,35.0561,34.8393,106.5281,255.0000,341
517,37.3138,37.1224,96.9796,255.0000,306
518,24.2462,24.1110,69.2258,255.0000,221
519,51.8776,51.6696,106.0332,255.0000,337
520,35.0472,34.8916,80.7398,255.0000,255
521,40.4566,40.2768,93.2398,255.0000,298
522,34.4898,34.3380,82.7946,255.0000,263
523,19.7819,19.6633,64.7321,255.0000,205
524,40.3890,40.1875,109.3304,255.0000,345
525,32.1760,32.0140,78.3291,255.0000,242
526,55.1314,54.8980,118.7589,255.0000,378
527,32.4145,32.2513,81.3061,255.0000,256
528,56.1480,55.9630,97.7717,255.0000,319
529,31.3240,31.1888,71.6964,255.0000,228
530,28.4273,28.2730,83.6122,255.0000,267
531,25.7105,25.5548,74.8967,255.0000,249
532,37.2360,37.0625,88.7857,255.0000,283
533,20.6314,20.5153,58.2666,255.0000,183
534,30.6416,30.4898,78.3023,255.0000,248
535,23.3151,23.1952,60.3304,255.0000,190
536,21.9503,21.8112,69.0191,255.0000,223
537,28.3673,28.2168,76.7602,255.0000,249
538,15.0446,14.9566,46.6429,255.0000,151
539,46.3253,46.1186,100.7334,255.0000,325
540,21.6939,21.5561,75.6288,255.0000,246
541,29.3814,29.2003,83.8380,255.0000,269
542,46.4694,46.2832,100.4439,255.0000,318
543,23.8661,23.7334,73.3444,255.0000,233
544,41.0357,40.8393,104.9515,255.0000,331
545,35.6837,35.5191,83.4821,255.0000,266
546,31.3469,31.1824,88.5370,255.0000,282
547,29.0268,28.8737,69.7105,255.0000,219
548,47.2908,47.0778,108.3278,255.0000,343
549,35.6735,35.4936,95.0893,255.0000,304
550,29.8406,29.6913,75.9885,255.0000,242
551,38.0064,37.8265,98.9413,255.0000,315
552,25.7997,25.6811,64.7602,255.0000,206
553,20.0676,19.9566,56.5740,255.0000,181
554,50.4821,50.2781,108.3827,255.0000,348
555,37.2997,37.1148,87.7589,255.0000,283
556,25.8431,25.7321,55.3495,255.0000,180
557,40.7819,40.5855,104.3533,255.0000,331
558,16.9834,16.8776,57.0344,255.0000,181
559,38.1952,38.0332,89.6467,255.0000,289
560,20.9923,20.8814,64.6837,255.0000,208
561,33.4452,33.2653,92.3546,255.0000,301
562,27.5179,27.3788,76.5753,255.0000,247
563,37.5944,37.4069,93.4617,255.0000,302
564,31.0587,30.9031,82.2360,255.0000,267
565,44.3686,44.1901,87.3916,255.0000,277
566,24.2372,24.1084,69.6964,255.0000,218
567,25.0166,24.8839,70.1480,255.0000,221
568,35.7972,35.6135,91.0395,255.0000,297
569,32.2411,32.0740,83.2768,255.0000,261
570,54.0893,53.8827,100.5472,255.0000,319
571,37.3048,37.1314,87.5778,255.0000,277
572,19.2819,19.1939,50.9337,255.0000,164
573,20.7704,20.6620,54.4987,255.0000,175
574,20.0153,19.9043,63.2921,255.0000,206
575,28.3941,28.2360,78.2640,255.0000,249
576,21.2309,21.1161,65.5230,255.0000,209
577,48.5855,48.3699,107.9286,255.0000,343
578,27.0319,26.8878,71.8189,255.0000,234
579,23.6199,23.4923,72.0689,255.0000,229
